,Titles,NER
4114,auth gucci brown gg pvc canvas and leather tote shoulder bag purse # 41457,"(0, 4, 'No Tag'),(5, 10, 'Brand'),(11, 16, 'Color'),(17, 19, 'Brand'),(20, 23, 'Material'),(24, 30, 'Fabric Type'),(31, 34, 'No Tag'),(35, 42, 'Material'),(43, 47, 'Type'),(48, 56, 'Type'),(57, 60, 'Type'),(61, 66, 'Type'),(67, 68, 'No Tag'),(69, 74, 'No Tag')"
4128,gucci soho off white gg crossbody wallet ivory italy leather handbag bag box new,"(0, 5, 'Brand'),(6, 10, 'Model'),(11, 14, 'Color'),(15, 20, 'Color'),(21, 23, 'Brand'),(24, 33, 'Type'),(34, 40, 'Type'),(41, 46, 'Color'),(47, 52, 'Country/Region of Manufacture'),(53, 60, 'Material'),(61, 72, 'Type'),(73, 76, 'No Tag'),(77, 80, 'No Tag')"
4141,"nwt lucky brand dylan leather lg shoulder bag , rl brandy","(0, 3, 'No Tag'),(4, 15, 'Brand'),(16, 21, 'Model'),(22, 29, 'Material'),(30, 32, 'Size'),(33, 41, 'Type'),(42, 45, 'Type'),(46, 47, 'No Tag'),(48, 50, 'Color'),(51, 57, 'Color')"
4151,michael kors studio mercer medium stud & grommet crossbody bag color - ballet,"(0, 12, 'Brand'),(13, 26, 'Model'),(27, 33, 'Size'),(13, 17, 'Accents'),(39, 40, 'No Tag'),(41, 48, 'Accents'),(49, 58, 'Type'),(59, 62, 'Type'),(63, 68, 'No Tag'),(69, 70, 'No Tag'),(71, 77, 'Color')"
4162,gucci crocodile web tom ford dragon tote bag very rare !!!,"(0, 5, 'Brand'),(6, 15, 'Pattern'),(16, 19, 'Product Line'),(20, 28, 'Brand'),(29, 35, 'Model'),(36, 40, 'Type'),(41, 44, 'Type'),(45, 49, 'No Tag'),(50, 54, 'No Tag'),(0, 3, 'No Tag')"
4172,authentic louis vuitton monogram mini speedy hand bag old model lv f1428,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 32, 'Pattern'),(33, 37, 'Size'),(38, 44, 'Model'),(45, 53, 'Type'),(54, 57, 'No Tag'),(58, 63, 'No Tag'),(64, 66, 'Brand'),(67, 72, 'MPN')"
4182,louis vuitton dauphine shoulder bag mm brown canvas fast sale !!!,"(0, 13, 'Brand'),(14, 22, 'Model'),(23, 31, 'Type'),(32, 35, 'Type'),(36, 38, 'Model'),(39, 44, 'Color'),(45, 51, 'Fabric Type'),(52, 56, 'No Tag'),(57, 61, 'No Tag'),(0, 3, 'No Tag')"
4192,auth louis vuitton monogram keepall bandouliere 50 boston bag m41416 lv e8761,"(0, 4, 'No Tag'),(5, 18, 'Brand'),(19, 27, 'Pattern'),(28, 35, 'Product Line'),(36, 47, 'Type'),(48, 50, 'Model'),(51, 57, 'Type'),(58, 61, 'Type'),(62, 68, 'MPN'),(69, 71, 'Brand'),(72, 77, 'No Tag')"
4203,womens leather croc effect square black shoulder bag with locking flap,"(0, 6, 'Department'),(7, 14, 'Material'),(15, 19, 'Pattern'),(20, 26, 'No Tag'),(27, 33, 'Type'),(34, 39, 'Color'),(40, 48, 'Type'),(49, 52, 'Type'),(53, 57, 'No Tag'),(58, 65, 'Closure'),(66, 70, 'Type')"
4214,vera bradley essential compact backpack holiday dogs dachshund pug bag purse nwt,"(0, 12, 'Brand'),(13, 30, 'Model'),(31, 39, 'Type'),(40, 47, 'Occasion'),(48, 66, 'Theme'),(67, 70, 'Type'),(71, 76, 'Type'),(77, 80, 'No Tag')"
4222,uto women backpack purse ladies rucksack detachable crossbody shoulder bag pu le,"(0, 3, 'Brand'),(4, 9, 'Department'),(10, 18, 'Type'),(19, 24, 'Type'),(25, 31, 'Department'),(32, 40, 'Type'),(41, 51, 'Features'),(52, 61, 'Type'),(62, 70, 'Type'),(71, 74, 'Type'),(19, 21, 'Material'),(49, 51, 'No Tag')"
4234,black or silver rhinestone all over beaded evening handbag with shoulder chain,"(0, 5, 'Color'),(6, 8, 'No Tag'),(9, 15, 'Color'),(16, 26, 'Accents'),(27, 30, 'No Tag'),(31, 35, 'No Tag'),(36, 42, 'Accents'),(43, 50, 'Occasion'),(51, 58, 'Type'),(59, 63, 'No Tag'),(64, 72, 'Type'),(73, 78, 'Handle/Strap Material')"
4246,uscarmen unisex school canvas backpack lunch bag pouch bag 3pc set black or blue,"(0, 8, 'Obscure'),(9, 15, 'Department'),(16, 22, 'Occasion'),(23, 29, 'Fabric Type'),(30, 38, 'Type'),(39, 44, 'Type'),(45, 48, 'Type'),(49, 54, 'Type'),(45, 48, 'Type'),(59, 62, 'Obscure'),(63, 66, 'Obscure'),(67, 72, 'Color'),(73, 75, 'No Tag'),(76, 80, 'Color')"
4260,michael kors women lady small leather fanny pack hip bag waist purse shoulder mk,"(0, 12, 'Brand'),(13, 23, 'Department'),(24, 29, 'Size'),(30, 37, 'Material'),(38, 48, 'Type'),(49, 52, 'Type'),(53, 56, 'Type'),(57, 62, 'Style'),(63, 68, 'Type'),(69, 77, 'Type'),(78, 80, 'Brand')"
4271,dalix initial tote bag personalized monogram zippered top letter - j,"(0, 5, 'Brand'),(6, 13, 'Accents'),(14, 18, 'Type'),(19, 22, 'Type'),(23, 35, 'Features'),(36, 44, 'Pattern'),(45, 53, 'Closure'),(54, 57, 'No Tag'),(58, 64, 'No Tag'),(65, 66, 'No Tag'),(67, 68, 'No Tag')"
4282,brand new beaded ebisu hobo purse gorgeous,"(0, 5, 'No Tag'),(6, 9, 'No Tag'),(10, 16, 'Accents'),(17, 22, 'Brand'),(23, 27, 'Type'),(28, 33, 'Type'),(34, 42, 'No Tag')"
4289,new zara white fur box clutch handbag shoulder bag rare,"(0, 3, 'No Tag'),(4, 8, 'Brand'),(9, 14, 'Color'),(15, 18, 'Material'),(19, 22, 'No Tag'),(23, 29, 'Type'),(30, 37, 'Type'),(38, 46, 'Type'),(34, 37, 'Type'),(51, 55, 'No Tag')"
4299,anime kirby plush shoulder bag cartoon stuffed toys bag handbag girl 's gift,"(0, 11, 'Character'),(12, 17, 'Accents'),(18, 26, 'Type'),(27, 30, 'Type'),(31, 38, 'Theme'),(39, 46, 'No Tag'),(47, 51, 'No Tag'),(27, 30, 'Type'),(56, 63, 'Type'),(64, 71, 'Department'),(72, 76, 'No Tag')"
4310,goyard saint louis pm tote bag with pouch black new 291,"(0, 6, 'Brand'),(7, 21, 'Product Line'),(22, 26, 'Type'),(27, 30, 'Type'),(31, 35, 'No Tag'),(36, 41, 'Type'),(42, 47, 'Color'),(48, 51, 'No Tag'),(52, 55, 'No Tag')"
4319,kate spade handbag new-bow valley mika shoulder bag black leather & patent-nwt,"(0, 10, 'Brand'),(11, 18, 'Type'),(19, 38, 'Model'),(39, 47, 'Type'),(15, 18, 'Type'),(52, 57, 'Color'),(58, 65, 'Material'),(66, 67, 'No Tag'),(68, 78, 'Material')"
4328,new gucci quilted metallic leather camera bag crossbody shoulder bag fuchsia,"(0, 3, 'No Tag'),(4, 9, 'Brand'),(10, 17, 'Features'),(18, 26, 'Color'),(27, 34, 'Material'),(35, 41, 'No Tag'),(42, 45, 'Type'),(46, 55, 'Type'),(56, 64, 'Type'),(42, 45, 'Type'),(69, 76, 'Color')"
4339,authentic fendi zucchino hand bag vinyl leather beige a0607,"(0, 9, 'No Tag'),(10, 15, 'Brand'),(16, 24, 'Model'),(25, 33, 'Type'),(34, 47, 'Material'),(48, 53, 'Color'),(54, 59, 'No Tag')"
4346,authentic 100 % wayuu mochila colombian bag large size gorgeous grey pastel,"(0, 9, 'No Tag'),(10, 13, 'No Tag'),(14, 15, 'No Tag'),(16, 21, 'Brand'),(22, 29, 'Model'),(30, 39, 'Country/Region of Manufacture'),(40, 43, 'Type'),(44, 49, 'Size'),(50, 54, 'No Tag'),(55, 63, 'No Tag'),(64, 68, 'Color'),(69, 75, 'Color')"
4358,louis vuitton sellier dragonne clutch hand bag epi leather black m52612 67ml874,"(0, 13, 'Brand'),(14, 30, 'Model'),(31, 46, 'Type'),(47, 58, 'Material'),(59, 64, 'Color'),(65, 71, 'MPN'),(72, 79, 'No Tag')"
4365,handbag women printing leather handle bag fashion brand lady tote big capacity,"(0, 7, 'Type'),(8, 13, 'Department'),(14, 22, 'Accents'),(23, 30, 'Material'),(31, 37, 'Handle Style'),(4, 7, 'Type'),(42, 49, 'No Tag'),(50, 55, 'No Tag'),(56, 60, 'Department'),(61, 65, 'Type'),(66, 69, 'No Tag'),(70, 78, 'No Tag')"
4377,brahmin medium asher snake embossed leather tote / shoulder bag in taupe hermosa .,"(0, 7, 'Brand'),(8, 14, 'Size'),(15, 20, 'Model'),(21, 26, 'Pattern'),(27, 35, 'Accents'),(36, 43, 'Material'),(44, 48, 'Type'),(49, 50, 'No Tag'),(51, 59, 'Type'),(60, 63, 'Type'),(5, 7, 'No Tag'),(67, 72, 'Color'),(73, 80, 'Color'),(81, 82, 'No Tag')"
4391,la calenita round straw crossbody spanish mexican bag handmade in columbia,"(0, 11, 'Brand'),(12, 17, 'Style'),(18, 23, 'Material'),(24, 33, 'Type'),(34, 49, 'Theme'),(50, 53, 'Type'),(54, 62, 'No Tag'),(63, 65, 'No Tag'),(66, 74, 'Country/Region of Manufacture')"
4400,authentic louis vuitton monogram petit noe shoulder bag m42226 lv a2310rc,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 32, 'Pattern'),(33, 42, 'Model'),(43, 51, 'Type'),(52, 55, 'Type'),(56, 62, 'MPN'),(63, 65, 'Brand'),(66, 73, 'MPN')"
4409,large leatherzipper top fusia leather handbag,"(0, 5, 'Size'),(6, 19, 'No Tag'),(20, 23, 'No Tag'),(24, 29, 'Color'),(6, 13, 'Material'),(38, 45, 'Type')"
4415,michael kors jet set east west large crossbody luggage brown,"(0, 12, 'Brand'),(13, 20, 'Product Line'),(21, 30, 'Product Line'),(31, 36, 'Size'),(37, 46, 'Type'),(47, 54, 'Type'),(55, 60, 'Color')"
4422,chanel lamb skin matelasse chain shoulder bag black gold cc auth 26128,"(0, 6, 'Brand'),(7, 16, 'Material'),(17, 26, 'Pattern'),(27, 32, 'Handle/Strap Material'),(33, 41, 'Type'),(42, 45, 'Type'),(46, 51, 'Color'),(52, 56, 'Color'),(57, 59, 'Brand'),(60, 64, 'No Tag'),(65, 70, 'No Tag')"
4433,louis vuitton damier graphite zephyr 55 trolley rolling luggage suitcase,"(0, 13, 'Brand'),(14, 20, 'Product Line'),(21, 29, 'Color'),(30, 36, 'Obscure'),(37, 39, 'Obscure'),(40, 47, 'Obscure'),(48, 55, 'Features'),(56, 63, 'Type'),(64, 72, 'Type')"
4442,small shoulder bag purse handed by diezijn in holland recycled red apple juice,"(0, 5, 'Size'),(6, 14, 'Type'),(15, 18, 'Type'),(19, 24, 'Type'),(25, 31, 'No Tag'),(32, 34, 'No Tag'),(35, 42, 'Brand'),(43, 45, 'No Tag'),(46, 53, 'No Tag'),(54, 62, 'Features'),(63, 66, 'Color'),(67, 72, 'Color'),(73, 78, 'Color')"
4455,louis vuitton sac shopping shoulder tote bag monogram leather bn m51108 83bu792,"(0, 13, 'Brand'),(14, 17, 'Model'),(18, 26, 'Type'),(27, 35, 'Type'),(36, 40, 'Type'),(41, 44, 'Type'),(45, 53, 'Pattern'),(54, 61, 'Material'),(62, 64, 'No Tag'),(65, 71, 'MPN'),(72, 79, 'No Tag')"
4466,marc jacobs orange designer quilted leather bag gold hardware,"(0, 11, 'Brand'),(12, 18, 'Color'),(19, 27, 'No Tag'),(28, 35, 'Accents'),(36, 43, 'Material'),(44, 47, 'Type'),(48, 52, 'Color'),(53, 61, 'No Tag')"
4474,louis vuitton x nigo lv2 pochette jour damier giant gm virgil abloh,"(0, 24, 'Product Line'),(25, 38, 'Model'),(39, 45, 'Product Line'),(46, 51, 'Size'),(52, 54, 'Model'),(55, 67, 'Brand')"
4480,louis vuitton vintage amarante monogram vernis leather brea gm shoulder bag,"(0, 13, 'Brand'),(14, 21, 'No Tag'),(22, 30, 'Color'),(31, 39, 'Pattern'),(40, 46, 'Product Line'),(47, 54, 'Material'),(55, 62, 'Model'),(63, 71, 'Type'),(72, 75, 'Type')"
4489,"vera bradley peacock garden clear beach wristlet cosmetic pouch , new pattern","(0, 4, 'Brand'),(5, 12, 'Obscure'),(13, 20, 'Obscure'),(21, 27, 'Obscure'),(28, 33, 'Obscure'),(34, 39, 'Obscure'),(40, 48, 'Handle Style'),(49, 57, 'Type'),(58, 63, 'Type'),(64, 65, 'Obscure'),(66, 69, 'Obscure'),(70, 77, 'Obscure')"
4501,laurel burch white on black floral small crossbody tote handbag purse,"(0, 12, 'Brand'),(13, 18, 'Color'),(19, 21, 'No Tag'),(22, 27, 'Color'),(28, 34, 'Pattern'),(35, 40, 'Size'),(41, 50, 'Type'),(51, 55, 'Type'),(56, 63, 'Type'),(64, 69, 'Type')"
4511,special authentic berge italian pink leather pony calf hair handbag purse snake,"(0, 7, 'No Tag'),(8, 17, 'No Tag'),(18, 23, 'Brand'),(24, 31, 'Obscure'),(32, 36, 'Color'),(37, 44, 'Material'),(45, 59, 'Accents'),(60, 67, 'Type'),(68, 73, 'Type'),(74, 79, 'Pattern')"
4521,nwot vera bradley clementine pink large duffle travel bag,"(0, 4, 'No Tag'),(5, 17, 'Brand'),(18, 28, 'Model'),(29, 33, 'Color'),(34, 39, 'Size'),(40, 46, 'Type'),(47, 53, 'Occasion'),(54, 57, 'Type')"
4529,louis vuitton neverfull mm tote bag m40156 monogram pvc canvas leather used,"(0, 13, 'Brand'),(14, 26, 'Model'),(27, 31, 'Type'),(32, 35, 'Type'),(36, 42, 'MPN'),(43, 51, 'Pattern'),(52, 55, 'Material'),(56, 62, 'Fabric Type'),(63, 70, 'Material'),(71, 75, 'No Tag')"
4539,telfar small shopping bag - black - vegan leather,"(0, 6, 'Brand'),(7, 12, 'Size'),(13, 25, 'Product Line'),(26, 27, 'No Tag'),(28, 33, 'Color'),(26, 27, 'No Tag'),(36, 41, 'Features'),(42, 49, 'Material')"
4547,nwt kipling alvar crossbody cloud metallic,"(0, 3, 'No Tag'),(4, 11, 'Brand'),(12, 17, 'Model'),(18, 27, 'Type'),(28, 33, 'Color'),(34, 42, 'Color')"
4553,nib $ 850 salvatore ferragamo mini patent miss vara crossbody bag,"(0, 3, 'No Tag'),(4, 5, 'No Tag'),(6, 9, 'No Tag'),(10, 29, 'Brand'),(30, 34, 'Size'),(35, 41, 'Material'),(42, 51, 'Model'),(52, 61, 'Type'),(62, 65, 'Type')"
4562,new fendi italy beige white tiger logo canvas leather small hobo shoulder bag,"(0, 3, 'No Tag'),(4, 9, 'Brand'),(10, 15, 'Country/Region of Manufacture'),(16, 21, 'Color'),(22, 27, 'Color'),(28, 33, 'Pattern'),(34, 38, 'Accents'),(39, 45, 'Fabric Type'),(46, 53, 'Material'),(54, 59, 'Size'),(60, 64, 'Type'),(65, 73, 'Type'),(74, 77, 'Type')"
4575,2016 disney dooney & bourke dvc 20th vacation club shopper large tote bag nwt,"(0, 4, 'No Tag'),(5, 11, 'Brand'),(12, 27, 'Brand'),(28, 50, 'Product Line'),(51, 58, 'Type'),(59, 64, 'Size'),(65, 69, 'Type'),(70, 73, 'Type'),(74, 77, 'No Tag')"
4584,three womens brown beige faux leather shoulder straps evening purses backpacks,"(0, 5, 'No Tag'),(6, 12, 'Department'),(13, 18, 'Color'),(19, 24, 'Color'),(25, 37, 'Material'),(38, 53, 'Handle Style'),(54, 61, 'Occasion'),(62, 68, 'Type'),(69, 78, 'Type')"
4593,lesportsac aloha nights classic hobo bag + cosmetic bag nwt free ship tropical,"(0, 10, 'Brand'),(11, 23, 'Model'),(24, 31, 'No Tag'),(32, 36, 'Type'),(37, 40, 'Type'),(41, 42, 'No Tag'),(43, 51, 'Type'),(37, 40, 'Type'),(56, 59, 'No Tag'),(60, 64, 'No Tag'),(65, 69, 'No Tag'),(70, 78, 'No Tag')"
4605,marc jacobs black leather handbag shoulder bag silver plate,"(0, 11, 'Brand'),(12, 17, 'Color'),(18, 25, 'Material'),(26, 33, 'Type'),(34, 42, 'Type'),(30, 33, 'Type'),(47, 59, 'Hardware Material')"
4612,tamara mellon chief designer jimmy choo tm enjoy watersnake clutch bag italy new,"(0, 13, 'Brand'),(14, 19, 'No Tag'),(20, 28, 'No Tag'),(29, 42, 'Brand'),(43, 59, 'Model'),(60, 66, 'Type'),(67, 70, 'Type'),(71, 76, 'Country/Region of Manufacture'),(77, 80, 'No Tag')"
4621,large engraved handmade bohemian moroccan leather boho shoulder bag purse,"(0, 5, 'Size'),(6, 14, 'Accents'),(15, 23, 'No Tag'),(24, 32, 'Style'),(33, 41, 'Theme'),(42, 49, 'Material'),(50, 54, 'Style'),(55, 63, 'Type'),(64, 67, 'Type'),(68, 73, 'Type')"
4631,fendi mamma baguette shoulder bag black nylon auth ** sticky gt996,"(0, 5, 'Brand'),(6, 11, 'Product Line'),(12, 20, 'Type'),(21, 29, 'Type'),(12, 15, 'Type'),(34, 39, 'Color'),(40, 45, 'Material'),(46, 50, 'No Tag'),(0, 2, 'No Tag'),(54, 60, 'No Tag'),(61, 66, 'No Tag')"
4642,spartina 449 clutch wallet crossbody cora,"(0, 8, 'Obscure'),(9, 12, 'Obscure'),(13, 19, 'Type'),(20, 26, 'Type'),(27, 36, 'Type'),(37, 41, 'Obscure')"
4648,urban expressions butterfly embroidered denim studded crossbody / clutch,"(0, 17, 'Brand'),(18, 27, 'Pattern'),(28, 39, 'Accents'),(40, 45, 'Fabric Type'),(46, 53, 'Accents'),(54, 63, 'Type'),(64, 65, 'No Tag'),(66, 72, 'Type')"
4656,authentic chanel beige caviar gst shopping tote bag shw,"(0, 9, 'No Tag'),(10, 16, 'Brand'),(17, 22, 'Color'),(23, 29, 'Product Line'),(30, 33, 'Model'),(34, 47, 'Type'),(48, 51, 'Type'),(52, 55, 'No Tag')"
4664,authentic louis vuitton damier neverfull pm tote bag n51109 lv 3944a,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 30, 'Product Line'),(31, 43, 'Model'),(44, 48, 'Type'),(49, 52, 'Type'),(53, 59, 'MPN'),(60, 62, 'Brand'),(63, 68, 'No Tag')"
4673,gucci bamboo web top handle bag printed leather medium,"(0, 5, 'Brand'),(6, 12, 'Product Line'),(13, 16, 'Product Line'),(17, 27, 'Handle Style'),(28, 31, 'Type'),(32, 39, 'Features'),(40, 47, 'Material'),(48, 54, 'Size')"
4681,gucci sherry line gg canvas shoulder bag pvc leather white red navy auth ar5765,"(0, 5, 'Brand'),(6, 17, 'Product Line'),(18, 20, 'Brand'),(21, 27, 'Fabric Type'),(28, 36, 'Type'),(37, 40, 'Type'),(41, 52, 'Material'),(53, 58, 'Color'),(59, 62, 'Color'),(63, 67, 'Color'),(68, 72, 'No Tag'),(73, 79, 'No Tag')"
4693,louis vuitton monogram musette salsa gm shoulder bag handbag authentic lv,"(0, 13, 'Brand'),(14, 22, 'Pattern'),(23, 39, 'Model'),(40, 48, 'Type'),(49, 52, 'Type'),(53, 60, 'Type'),(61, 70, 'No Tag'),(71, 73, 'Brand')"
4701,laurel burch indigo mares large blue horse purse scoop shoulder tote handbag,"(0, 12, 'Brand'),(13, 19, 'Color'),(20, 25, 'Model'),(26, 31, 'Size'),(32, 36, 'Color'),(37, 42, 'Theme'),(43, 48, 'Type'),(49, 54, 'Model'),(55, 63, 'Type'),(64, 68, 'Type'),(69, 76, 'Type')"
4712,coach handbag suede leather purse vintage 1421 tan camel fringe pulls very soft,"(0, 5, 'Brand'),(6, 13, 'Type'),(14, 27, 'Material'),(28, 33, 'Type'),(34, 41, 'No Tag'),(42, 46, 'No Tag'),(47, 50, 'Color'),(51, 56, 'Color'),(57, 63, 'Accents'),(64, 69, 'No Tag'),(70, 74, 'No Tag'),(75, 79, 'Features')"
4724,f by fortuna valentino black canvas tiger stripe purse,"(0, 12, 'Model'),(13, 22, 'Brand'),(23, 28, 'Color'),(29, 35, 'Fabric Type'),(36, 48, 'Pattern'),(49, 54, 'Type')"
4730,ladies leather retro crossbody shoulder bag backpack casual handbag,"(0, 6, 'Department'),(7, 14, 'Material'),(15, 20, 'Style'),(21, 39, 'Type'),(40, 43, 'Type'),(44, 52, 'Type'),(53, 59, 'Occasion'),(60, 67, 'Type')"
4738,authentic louis vuitton monogram speedy 30 hand bag m41526 lv e5579,"(0, 9, 'No Tag'),(10, 23, 'Brand'),(24, 32, 'Pattern'),(33, 42, 'Model'),(43, 51, 'Type'),(52, 58, 'MPN'),(59, 61, 'Brand'),(62, 67, 'No Tag')"
4746,disney star wars comedic illustrations mini backpack and bioworld dustbag,"(0, 6, 'Brand'),(7, 16, 'Character Family'),(17, 24, 'Theme'),(25, 38, 'Pattern'),(39, 43, 'Size'),(44, 52, 'Type'),(53, 56, 'No Tag'),(57, 65, 'No Tag'),(66, 73, 'No Tag')"
4755,women 's lina green floral print mini shoulder bag,"(0, 8, 'Department'),(9, 13, 'Model'),(14, 19, 'Color'),(20, 26, 'Pattern'),(27, 32, 'No Tag'),(33, 37, 'Size'),(38, 46, 'Type'),(47, 50, 'Type')"
4763,rice sack shopping bag tote bag recycled poly sack messenger bag new,"(0, 9, 'Material'),(10, 18, 'Type'),(19, 22, 'Type'),(23, 27, 'Type'),(19, 22, 'Type'),(32, 40, 'Features'),(41, 45, 'Material'),(5, 9, 'Type'),(51, 60, 'Type'),(19, 22, 'Type'),(65, 68, 'No Tag')"
4774,"authentic burberry large remington logo leather tote , black","(0, 9, 'No Tag'),(10, 18, 'Brand'),(19, 24, 'Size'),(25, 34, 'Model'),(35, 39, 'Accents'),(40, 47, 'Material'),(48, 52, 'Type'),(53, 54, 'No Tag'),(55, 60, 'Color')"
4783,bottega veneta backpack dark brown charcoal grey bordeaux black leather s _ 32174,"(0, 14, 'Brand'),(15, 23, 'Type'),(24, 28, 'Color'),(29, 34, 'Color'),(35, 43, 'Color'),(44, 48, 'Color'),(49, 57, 'Color'),(58, 63, 'Color'),(64, 71, 'Material'),(72, 73, 'No Tag'),(74, 75, 'No Tag'),(76, 81, 'No Tag')"
4795,black coach handbag,"(0, 5, 'Color'),(6, 11, 'Brand'),(12, 19, 'Type')"
4798,chloe marcie medium leather crossbody bag in cashmere grey,"(0, 5, 'Brand'),(6, 12, 'Model'),(13, 19, 'Size'),(20, 27, 'Material'),(28, 37, 'Type'),(38, 41, 'Type'),(42, 44, 'No Tag'),(45, 53, 'Color'),(54, 58, 'Color')"
4807,black purse w western flair ( p ),"(0, 5, 'Color'),(6, 11, 'Type'),(12, 13, 'No Tag'),(14, 21, 'Style'),(22, 27, 'Theme'),(28, 29, 'No Tag'),(6, 7, 'No Tag'),(32, 33, 'No Tag')"
4815,meli melo ornella tote bag in black msrp $ 695 made in italy classic,"(0, 9, 'Brand'),(10, 17, 'Model'),(18, 22, 'Type'),(23, 26, 'Type'),(27, 29, 'No Tag'),(30, 35, 'Color'),(36, 40, 'No Tag'),(41, 42, 'No Tag'),(43, 46, 'No Tag'),(47, 51, 'No Tag'),(27, 29, 'No Tag'),(55, 60, 'Country/Region of Manufacture'),(61, 68, 'No Tag')"
4828,"new fossil taylor fab navy blue , magenta+brown canvas crossbody , tote , hand bag","(0, 3, 'No Tag'),(4, 10, 'Brand'),(11, 17, 'Model'),(18, 21, 'No Tag'),(22, 26, 'Color'),(27, 31, 'Color'),(32, 33, 'No Tag'),(34, 47, 'No Tag'),(48, 54, 'Fabric Type'),(55, 64, 'Type'),(32, 33, 'No Tag'),(67, 71, 'Type'),(32, 33, 'No Tag'),(74, 82, 'Type')"
4842,authentic celine macadam pattern hand bag pvc leather brown d5938,"(0, 9, 'No Tag'),(10, 16, 'Brand'),(17, 24, 'Pattern'),(25, 32, 'No Tag'),(33, 41, 'Type'),(42, 53, 'Material'),(54, 59, 'Color'),(60, 65, 'No Tag')"
4850,kipling women 's keiko printed crossbody mini bag pockets monkey keychain,"(0, 7, 'Brand'),(8, 16, 'Department'),(17, 22, 'Model'),(23, 30, 'Features'),(31, 40, 'Type'),(41, 45, 'Size'),(46, 49, 'Type'),(50, 57, 'Features'),(58, 73, 'Accents')"
4859,goyard saint louis tote gm,"(0, 6, 'Brand'),(7, 18, 'Product Line'),(19, 23, 'Type'),(24, 26, 'Product Line')"
4863,bag two piece tote floral designer fashion fun hip,"(0, 3, 'Type'),(4, 7, 'No Tag'),(8, 13, 'No Tag'),(14, 18, 'Type'),(19, 25, 'Pattern'),(26, 34, 'No Tag'),(35, 42, 'No Tag'),(43, 46, 'No Tag'),(47, 50, 'Type')"
4872,the honest company coated canvas city backpack new with tags,"(0, 18, 'Brand'),(19, 32, 'Fabric Type'),(33, 46, 'Model'),(47, 50, 'No Tag'),(51, 55, 'No Tag'),(56, 60, 'No Tag')"
4878,$ 1380 new bottega veneta large leather woven clutch bag tan / pink 283584 2972,"(0, 1, 'No Tag'),(2, 6, 'No Tag'),(7, 10, 'No Tag'),(11, 25, 'Brand'),(26, 31, 'Size'),(32, 39, 'Material'),(40, 45, 'Fabric Type'),(46, 52, 'Type'),(53, 56, 'Type'),(57, 60, 'Color'),(61, 62, 'No Tag'),(63, 67, 'Color'),(68, 79, 'MPN')"
4891,coach vintage sonoma black pebbled leather drawstring backpack 4922,"(0, 5, 'Brand'),(6, 13, 'No Tag'),(14, 20, 'Model'),(21, 26, 'Color'),(27, 34, 'Pattern'),(35, 42, 'Material'),(43, 53, 'Closure'),(54, 62, 'Type'),(63, 67, 'No Tag')"
4900,black travel carry on tote zippered bag 421704,"(0, 5, 'Color'),(6, 12, 'Occasion'),(13, 21, 'Type'),(22, 26, 'Type'),(27, 35, 'Closure'),(36, 39, 'Type'),(40, 46, 'No Tag')"
4907,dooney & bourke brown victoria nylon tote handbag ( p180 ),"(0, 15, 'Brand'),(16, 21, 'Color'),(22, 30, 'Model'),(31, 36, 'Material'),(37, 41, 'Type'),(42, 49, 'Type'),(50, 51, 'No Tag'),(52, 56, 'No Tag'),(57, 58, 'No Tag')"
4916,haiku women 's teardrop eco shoulder purse handbag tote black,"(0, 5, 'Brand'),(6, 14, 'Department'),(15, 23, 'Style'),(24, 27, 'Features'),(28, 36, 'Type'),(37, 42, 'Type'),(43, 50, 'Type'),(51, 55, 'Type'),(56, 61, 'Color')"
4925,chanel quilted matelasse cc logo lambskin chain mini 2way shoulder bag / e707e,"(0, 6, 'Brand'),(7, 14, 'Features'),(15, 24, 'Pattern'),(25, 32, 'Accents'),(33, 41, 'Material'),(42, 47, 'Handle/Strap Material'),(48, 52, 'Size'),(53, 57, 'Features'),(58, 66, 'Type'),(67, 70, 'Type'),(71, 72, 'No Tag'),(73, 78, 'No Tag')"
4937,new kate spade staci medium satchel leather warm beige multi,"(0, 3, 'No Tag'),(4, 14, 'Brand'),(15, 20, 'Model'),(21, 27, 'Size'),(28, 35, 'Type'),(36, 43, 'Material'),(44, 48, 'Color'),(49, 54, 'Color'),(55, 60, 'Color')"
4946,louis vuitton mylockme wallet leather,"(0, 13, 'Brand'),(14, 22, 'Model'),(23, 29, 'Type'),(30, 37, 'Material')"
4950,authentic chanel red caviar gst shopping tote bag shw,"(0, 9, 'No Tag'),(10, 16, 'Brand'),(17, 20, 'Color'),(21, 27, 'Product Line'),(28, 31, 'Model'),(32, 45, 'Type'),(46, 49, 'Type'),(50, 53, 'No Tag')"
4958,black leather waist fanny pack belt bag pouch travel hip purse men women,"(0, 5, 'Color'),(6, 13, 'Material'),(14, 19, 'Style'),(20, 30, 'Type'),(31, 35, 'Type'),(36, 39, 'Type'),(40, 45, 'Type'),(46, 52, 'Occasion'),(53, 56, 'Type'),(57, 62, 'Type'),(63, 72, 'Department')"
